#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Trendlog(3010535)";504;"GTBQIDMCRC/MSTP1.FX34.AV-37.Tendance1";20;3010535;;;;N;;;;
"Trendlog(3010534)";504;"GTBQIDMCRC/MSTP1.FX34.AV-44.Tendance1";20;3010534;;;;N;;;;
"Trendlog(3010533)";504;"GTBQIDMCRC/MSTP1.FX34.AV-3.Tendance1";20;3010533;;;;N;;;;
"Trendlog(3010532)";504;"GTBQIDMCRC/MSTP1.FX33.AV-37.Tendance1";20;3010532;;;;N;;;;
"Trendlog(3010531)";504;"GTBQIDMCRC/MSTP1.FX33.AV-44.Tendance1";20;3010531;;;;N;;;;
"Trendlog(3010530)";504;"GTBQIDMCRC/MSTP1.FX33.AV-3.Tendance1";20;3010530;;;;N;;;;
"Trendlog(3010529)";504;"GTBQIDMCRC/MSTP1.FX32.AV-37.Tendance1";20;3010529;;;;N;;;;
"Trendlog(3010528)";504;"GTBQIDMCRC/MSTP1.FX32.AV-44.Tendance1";20;3010528;;;;N;;;;
"Trendlog(3010527)";504;"GTBQIDMCRC/MSTP1.FX32.AV-3.Tendance1";20;3010527;;;;N;;;;
"Trendlog(3010526)";504;"GTBQIDMCRC/MSTP1.FX31.AV-37.Tendance1";20;3010526;;;;N;;;;
"Trendlog(3010525)";504;"GTBQIDMCRC/MSTP1.FX31.AV-44.Tendance1";20;3010525;;;;N;;;;
"Trendlog(3010524)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-chaud-poutres ouve.Tendance1";20;3010524;;;;N;;;;
"Trendlog(3010523)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-chaud-poutres ouver.Tendance1";20;3010523;;;;N;;;;
"Trendlog(3010522)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-froid-poutres ouver.Tendance1";20;3010522;;;;N;;;;
"Trendlog(3010521)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-froid-poutres ouve.Tendance1";20;3010521;;;;N;;;;
"Trendlog(3010520)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-poutres pourcentage-ouver.Tendance1";20;3010520;;;;N;;;;
"Trendlog(3010519)";504;"GTBQIDMCRC/MSTP1.FEC20.pompe-poutres commande.Tendance1";20;3010519;;;;N;;;;
"Trendlog(3010518)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-depart-poutres mesu.Tendance1";20;3010518;;;;N;;;;
"Trendlog(3010517)";504;"GTBQIDMCRC/MSTP1.FEC20.regulation-energie-poutres cons.Tendance1";20;3010517;;;;N;;;;
"Trendlog(3010516)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-ete-hiver commande.Tendance1";20;3010516;;;;N;;;;
"Trendlog(3010515)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-chaud-collecteur o.Tendance1";20;3010515;;;;N;;;;
"Trendlog(3010514)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-chaud-collecteur ou.Tendance1";20;3010514;;;;N;;;;
"Trendlog(3010513)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-sortie-collecteur m.Tendance1";20;3010513;;;;N;;;;
"Trendlog(3010512)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-entree-collecteur m.Tendance1";20;3010512;;;;N;;;;
"Trendlog(3010511)";504;"GTBQIDMCRC/MSTP1.FEC20.energie-chaud-demandee commande.Tendance1";20;3010511;;;;N;;;;
"Trendlog(3010510)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-retour-collecteur-f.Tendance1";20;3010510;;;;N;;;;
"Trendlog(3010509)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-alarme-froid consig.Tendance1";20;3010509;;;;N;;;;
"Trendlog(3010508)";504;"GTBQIDMCRC/MSTP1.FEC20.regulation-energie-froid consig.Tendance1";20;3010508;;;;N;;;;
"Trendlog(3010507)";504;"GTBQIDMCRC/MSTP1.FEC20.pompe-collecteur-froid commande.Tendance1";20;3010507;;;;N;;;;
"Trendlog(3010506)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisee1 mesure.Tendance1";20;3010506;;;;N;;;;
"Trendlog(3010505)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisen1 mesure.Tendance1";20;3010505;;;;N;;;;
"Trendlog(3010504)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-repriseo0 mesure.Tendance1";20;3010504;;;;N;;;;
"Trendlog(3010503)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprises0 mesure.Tendance1";20;3010503;;;;N;;;;
"Trendlog(3010502)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisee0 mesure.Tendance1";20;3010502;;;;N;;;;
"Trendlog(3010501)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisen0 mesure.Tendance1";20;3010501;;;;N;;;;
"Trendlog(3010500)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-repriseo4 mesure.Tendance1";20;3010500;;;;N;;;;
"Trendlog(3010499)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprises4 mesure.Tendance1";20;3010499;;;;N;;;;
"Trendlog(3010498)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisee4 mesure.Tendance1";20;3010498;;;;N;;;;
"Trendlog(3010497)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisen4 mesure.Tendance1";20;3010497;;;;N;;;;
"Trendlog(3010496)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-repriseo3 mesure.Tendance1";20;3010496;;;;N;;;;
"Trendlog(3010495)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprises3 mesure.Tendance1";20;3010495;;;;N;;;;
"Trendlog(3010494)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisee3 mesure.Tendance1";20;3010494;;;;N;;;;
"Trendlog(3010493)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisen3 mesure.Tendance1";20;3010493;;;;N;;;;
"Trendlog(3010492)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-repriseo2 mesure.Tendance1";20;3010492;;;;N;;;;
"Trendlog(3010491)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprises2 mesure.Tendance1";20;3010491;;;;N;;;;
"Trendlog(3010490)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisee2 mesure.Tendance1";20;3010490;;;;N;;;;
"Trendlog(3010489)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprisen2 mesure.Tendance1";20;3010489;;;;N;;;;
"Trendlog(3010488)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-repriseo1 mesure.Tendance1";20;3010488;;;;N;;;;
"Trendlog(3010487)";504;"GTBQIDMCRC/MSTP1.FEC16.temperature-reprises1 mesure.Tendance1";20;3010487;;;;N;;;;
"Trendlog(3010486)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-reprise mesure.Tendance1";20;3010486;;;;N;;;;
"Trendlog(3010485)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-air-frais mesure.Tendance1";20;3010485;;;;N;;;;
"Trendlog(3010484)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-air-evacue mesure.Tendance1";20;3010484;;;;N;;;;
"Trendlog(3010483)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-air-apres-chaud mes.Tendance1";20;3010483;;;;N;;;;
"Trendlog(3010482)";504;"GTBQIDMCRC/MSTP1.FEC10.pression-pulsion mesure.Tendance1";20;3010482;;;;N;;;;
"Trendlog(3010481)";504;"GTBQIDMCRC/MSTP1.FEC10.pression-extraction mesure.Tendance1";20;3010481;;;;N;;;;
"Trendlog(3010480)";504;"GTBQIDMCRC/MSTP1.FEC10.demande-ete-hiver commande.Tendance1";20;3010480;;;;N;;;;
"Trendlog(3010479)";504;"GTBQIDMCRC/MSTP1.FEC10.ventilateur-extraction marche.Tendance2";20;3010479;;;;N;;;;
"Trendlog(3010478)";504;"GTBQIDMCRC/MSTP1.FEC10.ventilateur-pulsion marche.Tendance1";20;3010478;;;;N;;;;
"Trendlog(3010477)";504;"GTBQIDMCRC/MSTP1.FEC10.ventilateur-pulsion 0-10v.Tendance1";20;3010477;;;;N;;;;
"Trendlog(3010476)";504;"GTBQIDMCRC/MSTP1.FEC10.regulation-pulsion consigne-pre.Tendance1";20;3010476;;;;N;;;;
"Trendlog(3010474)";504;"GTBQIDMCRC/MSTP1.FEC10.ventilateur-extraction commande.Tendance1";20;3010474;;;;N;;;;
"Trendlog(3010473)";504;"GTBQIDMCRC/MSTP1.FEC10.regulation-extraction consigne-.Tendance1";20;3010473;;;;N;;;;
"Trendlog(3010472)";504;"GTBQIDMCRC/MSTP1.FEC10.vanne-chaud pourcentage-ouvertu.Tendance2";20;3010472;;;;N;;;;
"Trendlog(3010471)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-aller-recup mesure.Tendance2";20;3010471;;;;N;;;;
"Trendlog(3010470)";504;"GTBQIDMCRC/MSTP1.FEC10.circulateur-recuperation 0-10v.Tendance2";20;3010470;;;;N;;;;
"Trendlog(3010469)";504;"GTBQIDMCRC/MSTP1.FEC10.regulation-energie consigne-tem.Tendance2";20;3010469;;;;N;;;;
"Trendlog(3010462)";504;"GTBQIDMCRC/MSTP1.FX31.AV-3.Tendance1";20;3010462;;;;N;;;;
"Trendlog(3010265)";504;"GTBQIDMCRC/MSTP1.FX54.BI1.Tendance1";20;3010265;;;;N;;;;
"Trendlog(3010264)";504;"GTBQIDMCRC/MSTP1.FX54.BI-1.Tendance1";20;3010264;;;;N;;;;
"Trendlog(3010263)";504;"GTBQIDMCRC/MSTP1.FX55.BI-1.Tendance1";20;3010263;;;;N;;;;
